"oyster","temperature","substrate","depth","clarity","salinity"
0,50.3236837126315,"rock",7.51502769440413,0.425993649521843,0.814311911119148
0,43.2015390368178,"rock",4.10988626163453,0.878915776498616,0.930077774683014
1,52.1473367791623,"rock",6.29823660315014,0.0719501308631152,0.232313898857683
4,59.8759054625407,"rock",3.05560145759955,0.105831683147699,0.654148203087971
1,51.2340937228873,"rock",1.50176668469794,0.329872304806486,0.833850346272811
6,48.533494323492,"rock",1.86552054341882,0.309144674334675,0.0916279070079327
0,55.8425902621821,"sand",1.49372453987598,0.147794764256105,0.296865976182744
0,44.3058142252266,"sand",4.58044305769727,0.246765457326546,0.241689265472814
6,55.6564126908779,"rock",7.15005346830003,0.517313873162493,0.819122973829508
0,42.9514087550342,"rock",2.88696996681392,0.210061084944755,0.359934424515814
0,49.4524162495509,"sand",6.38490067911334,0.605869144899771,0.762013107771054
NA,40.9197917580605,"sand",7.09821331035346,0.111998453270644,0.361400999361649
4,56.9820778630674,"sand",4.26814650930464,0.539370344718918,0.0870905953925103
4,56.2664187373593,"rock",8.41355894482695,0.489316039253026,0.374125368427485
0,46.6440332401544,"sand",6.45786316599697,0.935354912886396,0.977280813734978
2,45.6917871441692,"rock",4.24458555784076,0.375469580525532,0.900058700470254
4,55.8569205692038,"rock",8.33847928140312,0.521999490214512,0.449710289947689
0,42.8123919200152,"sand",7.96534791495651,0.576976247364655,0.536288416944444
9,59.9209928885102,"rock",3.99290110776201,0.766356751089916,0.311312501784414
NA,40.6013527605683,"sand",5.94025375391357,0.998856947990134,0.551428450038657
3,48.7821539351717,"rock",2.35304599953815,0.194074258906767,0.219829908106476
0,47.5940151419491,"sand",5.70341265690513,0.521352479467168,0.206993417814374
5,51.5315660275519,"sand",1.93067517643794,0.60994985816069,0.727858679136261
4,51.2752464972436,"rock",8.58226630021818,0.0035219551064074,0.277892333222553
0,47.3078872449696,"sand",5.74688693578355,0.432718163821846,0.0939559894613922
0,43.6714237881824,"sand",8.14645819668658,0.424964177655056,0.958719672868028
0,54.0983801754192,"rock",9.39001815929078,0.105528844986111,0.0984989267308265
2,46.0197289241478,"rock",8.2540509335231,0.249923984985799,0.141211243113503
0,51.8053716327995,"sand",6.84998156526126,0.491871478268877,0.941371674649417
0,56.5891880821437,"sand",1.06695106555708,0.356095581315458,0.517317784251645
0,42.6481490861624,"sand",2.98025494371541,0.803663282422349,0.611089121550322
0,47.6894410746172,"sand",3.57520551746711,0.0803745950106531,0.384390997001901
9,59.7511022537947,"sand",2.12856357661076,0.283751941053197,0.215134358033538
0,47.9191434569657,"sand",4.3632664650213,0.392865302739665,0.454121172893792
0,42.1933465823531,"sand",2.05146557185799,0.249976893421263,0.57298933644779
0,49.5237881643698,"sand",8.01679245545529,0.470124039100483,0.987281600711867
0,47.3360133683309,"rock",2.89874004689045,0.390421968884766,0.783748077927157
0,41.9367362232879,"sand",1.84633805300109,0.0106380875222385,0.482552453875542
1,53.0752928415313,"sand",2.43289555050433,0.153052904177457,0.959722786908969
0,55.2971825981513,"sand",5.53456685971469,0.820409084437415,0.150240714428946
3,51.2294625956565,"rock",1.619152325904,0.496313726529479,0.249772429233417
10,58.2003754610196,"rock",5.50125320348889,0.770948456134647,0.19882109737955
0,50.2146016061306,"sand",5.68950321339071,0.255326124373823,0.612105125328526
0,54.0998900961131,"sand",1.86415545199998,0.407711873529479,0.324453504290432
0,59.2911184672266,"sand",9.96847864193842,0.2649448197335,0.0102785383351147
0,52.8726238617674,"rock",9.15721121570095,0.600893726339564,0.491434069583192
0,42.3619824228808,"rock",9.27212944463827,0.1916994235944,0.968813833780587
4,51.394862998277,"sand",1.83561775810085,0.521427563857287,0.230553157394752
0,54.448210853152,"sand",6.88898337795399,0.12102386332117,0.377695196075365
0,49.9047824600711,"sand",9.56228280905634,0.63787361071445,0.568013441748917
0,42.0334720425308,"rock",1.75839569908567,0.393943094648421,0.370482128812
2,55.3061467316002,"rock",1.04250051337294,0.0153337433002889,0.470336037687957
3,48.658393570222,"sand",1.01145531865768,0.0194323109462857,0.471797937527299
4,53.3838095841929,"rock",5.03645431809127,0.891308736754581,0.0240265438333154
0,48.3445697976276,"sand",7.04631163761951,0.0298618483357131,0.989857436157763
2,51.5719670196995,"rock",5.03093784186058,0.695671032182872,0.908830520696938
0,48.7920013954863,"sand",3.89148975000717,0.140345150837675,0.930657201213762
0,53.132259673439,"sand",7.7971631293185,0.0303359646350145,0.978507622843608
